id_pedido,data,categoria,regiao,canal,quantidade,preco_unitario,receita
1,2023-06-26,Casa,Sudeste,Marketplace,3,297.0,891.0
2,2024-05-08,Livros,Sudeste,Marketplace,4,97.06,388.24
3,2023-03-09,Esportes,Sudeste,App,2,644.27,1288.54
4,2023-06-06,Livros,Sul,App,1,101.56,101.56
5,2023-08-20,Livros,Sul,Marketplace,4,34.17,136.68
6,2023-08-14,Casa,Sudeste,Marketplace,3,92.4,277.2
7,2024-10-25,Eletrônicos,Sul,Site,4,2744.58,10978.32
8,2024-08-06,Vestuário,Sudeste,App,4,47.96,191.84
9,2024-10-30,Eletrônicos,Sudeste,App,4,2124.58,8498.32
10,2024-12-27,Vestuário,Nordeste,App,1,255.92,255.92
11,2023-02-27,Vestuário,Nordeste,Site,4,133.75,535.0
12,2023-04-14,Eletrônicos,Sudeste,Site,4,2697.04,10788.16
13,2024-09-25,Casa,Norte,Site,4,56.49,225.96
14,2023-02-27,Eletrônicos,Sul,Site,4,1682.95,6731.8
15,2023-05-02,Livros,Sul,App,4,47.15,188.6
16,2023-05-13,Eletrônicos,Sul,Site,4,3783.27,15133.08
17,2024-10-29,Vestuário,Sul,Marketplace,3,232.25,696.75
18,2023-09-20,Vestuário,Sudeste,Site,4,294.66,1178.64
19,2023-07-12,Casa,Sudeste,Marketplace,3,715.53,2146.59
20,2023-05-04,Vestuário,Sul,Marketplace,4,146.04,584.16
21,2023-12-01,Vestuário,Nordeste,Site,1,99.37,99.37
22,2024-03-05,Vestuário,Centro-Oeste,Site,3,98.53,295.59
23,2024-08-07,Vestuário,Nordeste,App,1,77.72,77.72
24,2024-03-26,Vestuário,Centro-Oeste,Site,4,318.97,1275.88
25,2024-12-20,Vestuário,Sul,Site,4,145.81,583.24
26,2023-03-18,Eletrônicos,Nordeste,Site,3,2192.82,6578.46
27,2023-12-22,Esportes,Nordeste,App,2,652.98,1305.96
28,2024-02-17,Vestuário,Norte,App,4,226.7,906.8
29,2024-05-16,Vestuário,Sul,App,4,159.74,638.96
30,2023-01-04,Casa,Norte,App,3,337.11,1011.33
31,2023-05-28,Vestuário,Nordeste,Site,3,187.1,561.3
32,2023-12-06,Vestuário,Centro-Oeste,Marketplace,1,141.31,141.31
33,2023-02-18,Esportes,Nordeste,App,4,90.32,361.28
34,2024-12-13,Vestuário,Sudeste,Marketplace,3,394.96,1184.88
35,2024-04-13,Casa,Nordeste,App,3,809.69,2429.07
36,2024-08-06,Eletrônicos,Sudeste,Site,4,2149.53,8598.12
37,2024-01-12,Vestuário,Sudeste,App,4,192.87,771.48
38,2024-03-11,Livros,Sudeste,Site,4,92.34,369.36
39,2023-09-09,Casa,Nordeste,App,2,481.98,963.96
40,2023-08-26,Eletrônicos,Sul,Site,2,961.15,1922.3
41,2023-04-05,Vestuário,Sudeste,Site,3,45.15,135.45
42,2023-05-31,Eletrônicos,Sudeste,App,1,3597.99,3597.99
43,2024-07-13,Casa,Sudeste,App,1,784.38,784.38
44,2023-11-20,Casa,Sudeste,Site,3,558.09,1674.27
45,2024-08-25,Vestuário,Sul,Site,2,80.7,161.4
46,2023-07-22,Casa,Nordeste,App,3,542.8,1628.4
47,2024-06-10,Eletrônicos,Nordeste,App,1,1672.25,1672.25
48,2024-09-30,Casa,Sudeste,App,2,561.55,1123.1
49,2024-08-28,Livros,Norte,Marketplace,1,39.56,39.56
50,2023-06-05,Livros,Nordeste,App,1,67.91,67.91
51,2023-09-26,Eletrônicos,Norte,Site,4,2747.22,10988.88
52,2023-07-20,Casa,Norte,App,3,337.83,1013.49
53,2024-08-06,Casa,Sudeste,Marketplace,4,588.66,2354.64
54,2024-08-12,Vestuário,Sul,App,2,141.1,282.2
55,2023-11-20,Eletrônicos,Norte,App,3,2464.54,7393.62
56,2023-07-15,Eletrônicos,Sudeste,App,1,3141.59,3141.59
57,2023-02-17,Vestuário,Sudeste,App,4,76.54,306.16
58,2023-07-15,Esportes,Sudeste,Site,1,367.25,367.25
59,2023-04-20,Eletrônicos,Nordeste,Site,2,714.57,1429.14
60,2023-02-21,Esportes,Nordeste,Marketplace,2,273.89,547.78
61,2024-07-25,Livros,Sudeste,App,2,90.65,181.3
62,2023-12-08,Casa,Norte,Marketplace,1,340.52,340.52
63,2024-12-08,Esportes,Sudeste,App,4,243.91,975.64
64,2023-07-12,Eletrônicos,Nordeste,Site,2,2424.75,4849.5
65,2023-10-08,Vestuário,Nordeste,Site,3,275.52,826.56
66,2024-10-10,Casa,Centro-Oeste,Marketplace,2,405.58,811.16
67,2024-03-25,Esportes,Centro-Oeste,Marketplace,2,452.18,904.36
68,2023-07-29,Vestuário,Centro-Oeste,App,4,263.37,1053.48
69,2023-09-29,Eletrônicos,Sul,App,2,1681.55,3363.1
70,2024-07-18,Esportes,Sudeste,App,2,253.45,506.9
71,2023-09-23,Casa,Sudeste,Site,1,782.25,782.25
72,2023-12-22,Esportes,Nordeste,Marketplace,3,780.59,2341.77
73,2023-12-24,Vestuário,Sul,Marketplace,4,310.21,1240.84
74,2023-12-08,Vestuário,Sudeste,App,2,362.14,724.28
75,2023-12-22,Casa,Nordeste,Marketplace,1,720.84,720.84
76,2024-12-05,Livros,Nordeste,App,4,41.98,167.92
77,2023-06-26,Eletrônicos,Centro-Oeste,App,3,459.19,1377.57
78,2024-10-17,Livros,Sul,Site,1,48.35,48.35
79,2023-05-23,Eletrônicos,Sudeste,App,1,3370.22,3370.22
80,2023-02-27,Casa,Nordeste,App,2,351.61,703.22
81,2023-08-20,Casa,Centro-Oeste,Site,4,257.79,1031.16
82,2023-06-28,Esportes,Sudeste,App,2,410.04,820.08
83,2024-04-11,Eletrônicos,Nordeste,Marketplace,4,1833.54,7334.16
84,2023-05-15,Livros,Sudeste,Marketplace,2,71.35,142.7
85,2023-05-30,Casa,Norte,Marketplace,4,73.76,295.04
86,2024-10-22,Livros,Sudeste,Site,1,60.0,60.0
87,2024-08-16,Vestuário,Centro-Oeste,App,4,124.64,498.56
88,2024-02-09,Vestuário,Centro-Oeste,Marketplace,3,83.93,251.79
89,2024-10-29,Vestuário,Nordeste,Site,3,55.48,166.44
